epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5152,3.30256,4.94865,4.24927,0.0007,0.16667,0.00074,0.00016,2.70707,4.79468,4.15721,0.00016,0.00016,0.00016
2,44.5908,3.24442,4.30087,4.154,0.0007,0.16667,0.0015,0.0003,2.70081,4.79921,4.14671,0.000338317,0.000338317,0.000338317
3,68.9179,3.29217,4.45866,4.15414,0.0007,0.16667,0.00152,0.00036,2.69008,4.8015,4.13109,0.000514852,0.000514852,0.000514852
4,89.0302,3.10015,4.64214,3.65958,0.0007,0.16667,0.00212,0.00056,2.66928,4.81431,4.10225,0.000689605,0.000689605,0.000689605
5,109.062,3.53871,4.16432,4.05122,0.0007,0.16667,0.00161,0.00041,2.65399,4.78249,4.07259,0.000862576,0.000862576,0.000862576
6,129.121,3.63173,4.05706,3.97355,0.0007,0.16667,0.0008,0.00016,2.654,4.73822,4.04169,0.00103377,0.00103377,0.00103377
7,149.484,3.43355,4.29958,3.9798,0.00088,0.20833,0.00064,0.00018,2.62748,4.6519,3.98243,0.00120317,0.00120317,0.00120317
8,170.279,3.11802,4.02852,3.82682,0.00088,0.20833,0.00053,8e-05,2.60623,4.80117,3.89453,0.0013708,0.0013708,0.0013708
9,190.582,3.19693,4.18639,3.81366,0.00088,0.20833,0.00053,7e-05,2.63051,4.74776,3.86947,0.00153664,0.00153664,0.00153664
10,210.7,3.56319,4.54484,3.86174,0.00035,0.08333,0.00019,2e-05,2.7358,4.66681,3.85836,0.0017007,0.0017007,0.0017007
11,239.376,3.11715,4.15312,3.82109,0.0014,0.33333,0.00105,0.0002,2.43701,4.84434,3.62396,0.00186298,0.00186298,0.00186298
12,259.277,3.28074,3.89665,3.73078,0.00088,0.20833,0.00078,0.00019,2.46775,5.22335,3.59035,0.0018911,0.0018911,0.0018911
13,279.209,2.9249,3.9357,3.61747,0.00088,0.20833,0.00068,0.00015,2.76118,4.86535,3.7549,0.0018812,0.0018812,0.0018812
14,299.485,3.02729,4.16534,3.57517,0.0014,0.33333,0.00099,0.00032,2.82817,4.50434,3.75184,0.0018713,0.0018713,0.0018713
15,319.989,2.92821,3.80151,3.50981,0.00123,0.29167,0.00082,0.00019,3.00086,4.53788,3.82557,0.0018614,0.0018614,0.0018614
16,340.858,2.61557,4.20231,3.01306,0.00123,0.29167,0.00163,0.00039,2.6509,4.92133,3.60671,0.0018515,0.0018515,0.0018515
17,369.709,3.00995,3.87616,3.40663,0.0014,0.33333,0.00256,0.0011,2.71197,4.88878,3.72873,0.0018416,0.0018416,0.0018416
18,389.62,3.10484,3.91719,3.40075,0.00175,0.41667,0.00657,0.00123,2.63448,4.80533,3.52977,0.0018317,0.0018317,0.0018317
19,409.592,2.90238,3.95843,3.25945,0.00193,0.45833,0.00215,0.00052,2.7671,41.3078,3.3511,0.0018218,0.0018218,0.0018218
