epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7479,3.31081,4.89876,4.2523,0.00053,0.125,0.00074,0.00019,2.70707,4.79468,4.15721,0.00016,0.00016,0.00016
2,38.039,3.2469,4.29774,4.15461,0.0007,0.16667,0.00121,0.00025,2.70073,4.79907,4.14661,0.000338317,0.000338317,0.000338317
3,55.3335,3.28481,4.41589,4.15574,0.0007,0.16667,0.00123,0.00028,2.68986,4.80104,4.13073,0.000514852,0.000514852,0.000514852
4,73.2079,3.08101,4.6304,3.6467,0.0007,0.16667,0.00209,0.00055,2.66939,4.81331,4.10083,0.000689605,0.000689605,0.000689605
5,89.6743,3.5421,4.16091,4.03499,0.0007,0.16667,0.00151,0.00038,2.65242,4.78472,4.07043,0.000862576,0.000862576,0.000862576
6,106.773,3.58827,4.04841,3.96387,0.0007,0.16667,0.0009,0.00017,2.64375,4.73764,4.03767,0.00103377,0.00103377,0.00103377
7,125.066,3.40519,4.30756,3.9709,0.00088,0.20833,0.00066,0.0002,2.58795,4.64516,3.98118,0.00120317,0.00120317,0.00120317
8,141.497,3.11736,4.04607,3.84619,0.0007,0.16667,0.00041,8e-05,2.48269,4.7281,3.88313,0.0013708,0.0013708,0.0013708
9,158.567,3.19709,4.20531,3.83238,0.0007,0.16667,0.00041,5e-05,2.582,4.70257,3.88623,0.00153664,0.00153664,0.00153664
10,175.615,3.55993,4.53595,3.84845,0.00035,0.08333,0.00019,3e-05,2.82487,4.72114,3.91835,0.0017007,0.0017007,0.0017007
11,193.054,3.14912,4.15992,3.81826,0.00105,0.25,0.00098,0.00017,2.42957,5.09381,3.6357,0.00186298,0.00186298,0.00186298
12,209.845,3.25502,3.88905,3.71554,0.00088,0.20833,0.00093,0.0002,2.51935,5.04785,3.62151,0.0018911,0.0018911,0.0018911
13,226.813,2.9381,3.9304,3.60799,0.00105,0.25,0.00067,0.00023,2.82358,4.67474,3.73706,0.0018812,0.0018812,0.0018812
14,243.692,3.02431,4.18576,3.61661,0.00123,0.29167,0.00223,0.00077,3.11119,4.8805,3.99542,0.0018713,0.0018713,0.0018713
15,260.37,2.88465,3.82472,3.52814,0.00123,0.29167,0.00223,0.00077,3.40435,7.34665,4.56903,0.0018614,0.0018614,0.0018614
16,276.896,2.62363,4.1075,2.99509,0.0007,0.16667,0.00213,0.00055,3.17372,5.90724,4.27573,0.0018515,0.0018515,0.0018515
17,293.126,3.00326,3.86489,3.41116,0.00088,0.20833,0.00076,0.00026,3.10683,5.50099,4.50692,0.0018416,0.0018416,0.0018416
18,309.541,3.09808,3.94123,3.38601,0.00123,0.29167,0.00099,0.00031,2.89455,5.33576,4.21471,0.0018317,0.0018317,0.0018317
19,326.056,3.05557,3.97611,3.38808,0.00158,0.375,0.0018,0.0004,2.73346,6.63117,3.82297,0.0018218,0.0018218,0.0018218
20,342.504,3.19002,3.94789,3.31801,0.00193,0.45833,0.00212,0.00058,2.68935,9.23997,3.62166,0.0018119,0.0018119,0.0018119
21,359.074,2.79957,3.63049,3.11938,0.00323,0.08333,0.00258,0.00074,2.59048,11.9915,3.59359,0.001802,0.001802,0.001802
22,375.473,3.04842,3.79056,3.31037,0.00228,0.54167,0.00212,0.00061,2.50271,7.36884,3.44647,0.0017921,0.0017921,0.0017921
23,391.787,2.80659,3.73209,3.22619,0.00228,0.54167,0.00783,0.0014,2.5476,4.88918,3.54715,0.0017822,0.0017822,0.0017822
24,408.503,3.07611,3.80548,3.44129,0.00246,0.58333,0.00935,0.00231,2.76354,4.37618,3.56194,0.0017723,0.0017723,0.0017723
25,427.184,3.00715,3.79682,3.17822,0.00228,0.54167,0.00661,0.00153,2.4786,4.40129,3.3357,0.0017624,0.0017624,0.0017624
26,445.123,2.95608,3.82565,3.20945,0.00246,0.58333,0.00515,0.00116,2.51023,4.59697,3.33722,0.0017525,0.0017525,0.0017525
27,462.063,3.08011,3.77125,3.23746,0.00467,0.54167,0.00464,0.00116,2.61819,6.86667,3.32652,0.0017426,0.0017426,0.0017426
28,480.159,2.73666,3.53547,3.06032,0.0067,0.25,0.00484,0.00133,2.51047,8.23577,3.25584,0.0017327,0.0017327,0.0017327
29,497.997,2.89683,3.8509,3.17541,0.00945,0.04167,0.00492,0.00146,2.48095,8.81861,3.24095,0.0017228,0.0017228,0.0017228
30,514.926,2.71638,3.91922,2.85851,0.00698,0.25,0.00373,0.00131,2.42619,17.8853,3.20727,0.0017129,0.0017129,0.0017129
31,532.605,2.95132,3.79299,3.15768,0.00228,0.54167,0.00378,0.00131,2.34698,11.5826,3.04567,0.001703,0.001703,0.001703
32,550.483,2.70618,3.66403,3.04745,0.00228,0.54167,0.00649,0.0021,2.361,5.14469,3.02921,0.0016931,0.0016931,0.0016931
33,568.741,2.85053,3.6934,2.99837,0.01317,0.08333,0.01216,0.00353,2.3685,4.93671,3.06086,0.0016832,0.0016832,0.0016832
34,586.68,2.89168,3.63824,3.07489,0.00845,0.04167,0.00531,0.00159,2.43349,5.34248,3.10925,0.0016733,0.0016733,0.0016733
35,604.06,3.18056,3.70845,3.25802,0.00948,0.125,0.00643,0.0016,2.58394,5.98488,3.20754,0.0016634,0.0016634,0.0016634
36,622.525,2.79041,3.76709,3.14318,0.00702,0.25,0.00582,0.00162,2.55202,6.0709,3.18958,0.0016535,0.0016535,0.0016535
37,639.525,3.07164,3.57879,3.1712,0.012,0.04167,0.00584,0.00199,2.56493,7.51875,3.17977,0.0016436,0.0016436,0.0016436
38,656.497,2.96978,3.61248,3.25459,0.75753,0.04167,0.05825,0.03383,2.57833,6.22521,3.1821,0.0016337,0.0016337,0.0016337
39,673.008,2.75463,3.52556,3.0464,0.24246,0.08333,0.06368,0.03448,2.38566,5.01896,3.08666,0.0016238,0.0016238,0.0016238
40,689.439,2.93601,3.65712,3.0534,0.14908,0.08333,0.06573,0.04499,2.38621,4.61563,3.07908,0.0016139,0.0016139,0.0016139
41,705.781,2.85462,3.60081,3.0903,0.15763,0.08333,0.06791,0.03638,2.47249,4.10501,3.11323,0.001604,0.001604,0.001604
42,722.199,2.89586,3.48349,3.09884,0.1629,0.08333,0.06616,0.03544,2.45407,3.77368,3.11407,0.0015941,0.0015941,0.0015941
43,738.621,2.81761,3.44209,3.03249,0.8247,0.04167,0.06054,0.03642,2.38048,3.55296,3.07161,0.0015842,0.0015842,0.0015842
44,755.018,2.82461,3.42518,3.08379,0.15499,0.08333,0.07347,0.03934,2.51267,3.79084,3.12733,0.0015743,0.0015743,0.0015743
45,772.043,2.82841,3.46667,3.17569,0.8832,0.04167,0.06117,0.03073,2.68299,4.26855,3.30227,0.0015644,0.0015644,0.0015644
46,789.789,2.9428,3.66471,3.0338,0.64571,0.04167,0.05588,0.02039,2.76717,4.38574,3.37367,0.0015545,0.0015545,0.0015545
47,806.329,2.72203,3.43072,2.91891,0.03005,0.20833,0.05429,0.02031,2.80441,4.38655,3.37993,0.0015446,0.0015446,0.0015446
48,822.906,2.84052,3.71446,3.01761,0.00854,0.33333,0.0075,0.00202,2.79277,4.30275,3.32644,0.0015347,0.0015347,0.0015347
49,839.553,2.62371,3.7099,3.00437,0.01047,0.375,0.00868,0.00228,2.59951,4.53012,3.18648,0.0015248,0.0015248,0.0015248
50,856.49,2.80103,3.56283,3.01974,0.00871,0.375,0.00622,0.00154,2.43754,4.93144,3.07498,0.0015149,0.0015149,0.0015149
51,873.608,2.82765,3.56554,3.00267,0.00665,0.375,0.00655,0.00209,2.40072,4.53412,3.00367,0.001505,0.001505,0.001505
52,890.161,3.10013,3.68833,3.29292,0.01073,0.33333,0.01019,0.00344,2.36847,4.2503,2.95988,0.0014951,0.0014951,0.0014951
53,906.986,2.72977,3.48892,2.90357,0.01603,0.20833,0.01183,0.00533,2.32237,4.0548,2.92156,0.0014852,0.0014852,0.0014852
54,923.861,2.81939,3.663,2.92302,0.0091,0.04167,0.01697,0.0068,2.32138,4.05611,2.9191,0.0014753,0.0014753,0.0014753
55,940.884,2.71129,3.37181,2.97972,0.09708,0.04167,0.01598,0.00637,2.3498,4.13181,2.96228,0.0014654,0.0014654,0.0014654
56,957.526,2.87834,3.46365,3.02702,0.15169,0.04167,0.02902,0.01553,2.33362,4.11485,2.97166,0.0014555,0.0014555,0.0014555
57,974.025,2.89953,3.57211,2.92835,0.50221,0.04167,0.05285,0.0346,2.25052,4.15502,2.93222,0.0014456,0.0014456,0.0014456
58,990.61,2.94474,3.59472,3.05123,0.57573,0.04167,0.05784,0.0367,2.26343,4.10524,2.94146,0.0014357,0.0014357,0.0014357
59,1007.02,2.42865,3.5908,2.67603,0.64734,0.04167,0.06804,0.0418,2.5437,3.93235,3.10581,0.0014258,0.0014258,0.0014258
60,1023.43,2.35481,3.49525,2.531,0.66548,0.04167,0.06091,0.03604,2.42247,4.1272,3.01417,0.0014159,0.0014159,0.0014159
61,1039.78,2.75267,3.42033,3.02648,0.75584,0.04167,0.06067,0.03625,2.33921,4.26134,2.95904,0.001406,0.001406,0.001406
62,1056.18,2.68638,3.35792,2.91607,0.78161,0.04167,0.0613,0.03632,2.32707,4.28655,2.94489,0.0013961,0.0013961,0.0013961
63,1072.67,2.60487,3.43578,2.98647,0.74134,0.04167,0.06003,0.04018,2.29502,4.28189,2.9321,0.0013862,0.0013862,0.0013862
64,1089.11,2.69663,3.51499,2.98064,0.72409,0.04167,0.05981,0.04035,2.42243,4.31633,3.03793,0.0013763,0.0013763,0.0013763
65,1105.63,2.81668,3.32739,3.04038,0.77973,0.04167,0.06009,0.03601,2.4296,4.13688,3.03325,0.0013664,0.0013664,0.0013664
66,1122.11,2.44684,3.4736,2.65647,0.57813,0.04167,0.06113,0.04059,2.19634,3.99835,2.90406,0.0013565,0.0013565,0.0013565
67,1139.01,2.71937,3.54855,2.96401,0.13982,0.04167,0.06865,0.03515,2.28054,3.88635,2.86172,0.0013466,0.0013466,0.0013466
68,1155.43,2.83015,3.35453,3.00369,0.17894,0.08333,0.06654,0.03548,2.20758,3.75608,2.8328,0.0013367,0.0013367,0.0013367
69,1171.88,2.86375,3.42973,2.98291,0.20842,0.08333,0.07242,0.04109,2.22449,3.73175,2.85663,0.0013268,0.0013268,0.0013268
70,1188.73,2.91794,3.44129,3.0041,0.26071,0.08333,0.07876,0.04096,2.3716,3.63915,2.95519,0.0013169,0.0013169,0.0013169
71,1205.23,2.54924,3.56287,2.99687,0.2541,0.08333,0.07959,0.04624,2.52812,3.49145,3.03269,0.001307,0.001307,0.001307
72,1221.74,2.50746,3.55309,2.73939,0.3458,0.08333,0.08137,0.04719,2.53755,3.44777,3.04287,0.0012971,0.0012971,0.0012971
73,1238.24,2.65695,3.41192,2.83837,0.17562,0.08333,0.09019,0.05097,2.47928,3.41574,3.00099,0.0012872,0.0012872,0.0012872
